title,type,release_year,runtime,genres,imdb_score,name,role,thriller,scifi,animation,documentation,history,western,war,sport,action,romance,horror,crime,comedy,drama,music,reality,fantasy,family,european
Diabolique,MOVIE,1996.0,107.0,"['horror', 'thriller', 'drama']",5.4,"Sharon Stone,Isabelle Adjani,Chazz Palminteri,Kathy Bates,Spalding Gray,Shirley Knight,Allen Garfield,Adam Hann-Byrd,Donal Logue,Diana Bellamy,J.J. Abrams,O'Neal Compton,Bingo O'Malley,Stephen Liska,Clea Lewis,Hank Stohl,James Kisicki,Kevin Vinay,Cory Pattak,Kate Young,Sophia Salguero,Zachary Mott,Jesse Sky Ross,Jeremiah S. Chechik",ACTOR,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Turbulence,MOVIE,1997.0,100.0,"['thriller', 'action']",4.9,"Ray Liotta,Lauren Holly,Brendan Gleeson,Hector Elizondo,Rachel Ticotin,Ben Cross,Catherine Hicks,Jeffrey DeMunn,John Finn,Heidi Kling,J. Kenneth Campbell,James MacDonald,Grand L. Bush,Michael Harney,Don Dowe,Gordy Owens,Richard Hoyt-Miller,Michael Francis Kelly,Alan Bergmann,Danna Hansen,R.J. Knoll,Sondra Spriggs,Garrett M. Brown,Darryl Theirse,Fritz Mashimo,Tom Todoroff,Jeffrey Joseph,Dennis Redfield,Malachy McCourt,Gary Rodriguez,William H. Burton Jr.,Callie Thorne,John Elsen,Bill Cross,Tannis Benedict,Scott Gurney,Cooper Huckabee,Kevin O'Rourke,Scott Lawrence,Lara Bierner,Paxton Culpepper,Charles Gemmill,Billy Malone,L.A. Rothman,George Cheung,Robert Butler",ACTOR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fluke,MOVIE,1995.0,96.0,"['drama', 'fantasy', 'family']",6.6,"Matthew Modine,Nancy Travis,Eric Stoltz,Max Pomeranc,Ron Perlman,Jon Polito,Bill Cobbs,Federico Pacifici,Clarinda Ross,Adrian Roberts,Bart Hansard,Deborah Hobart,Libby Whittemore,Collin Wilcox Paxton,Carlo Carlei",ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Escape Clause,MOVIE,1996.0,99.0,"['thriller', 'drama']",5.6,"Andrew McCarthy,Paul Sorvino,Connie Britton,Kate McNeil,Stan Egi,Kenneth Welsh,John Evans,Peter Donaldson,Victor A. Young,Sean Dick,Tara Rosling,Claire Rankin,Yanira Contreras,Stephen Bogaert,Phillip Jarrett,Scott Wickware,John Boylan,Shawn Lawrence,Chuck Shamata,Laura Catalano,Tricia Brioux,Garnet Harding,Stephanie Roth Haberle,Linda Goranson,Brian Trenchard-Smith",ACTOR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Big Sky,SHOW,1997.0,44.0,"['drama', 'comedy', 'music']",6.7,"Gary Sweet,Martin Henderson,Alexandra Fowler,Rhys Muldoon,John Clayton,Tim Campbell",ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
L.A. Without a Map,MOVIE,1999.0,107.0,"['romance', 'drama', 'comedy', 'european']",6.1,"David Tennant,Julie Delpy,Vinessa Shaw,Vincent Gallo,Steve Huison,Tony Peers,Margo Stanley,Saskia Reeves,Malcolm Tierney,Margi Clarke,Monte Hellman,Lisa Edelstein,Joe Dallesandro,Amanda Plummer,Nathalie Huot,Christa Lang,Anouk Aimée,Mika Kaurismäki,Matti Pellonpää,Valentin Siroon,Dijon Talton,Johnny Depp,Joey Perillo,James Le Gros,Matthew Faber,Brent Morris,Cameron Bancroft,Jerzy Skolimowski,Mika Kaurismäki",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
Cruel Intentions 2,MOVIE,2000.0,87.0,['drama'],5.933656114214774,"Robin Dunne,Sarah Thompson,Amy Adams,Barry Flatman,Mimi Rogers,Barclay Hope,Tane McClure,Teresa Hill,Keri Lynn Pratt,David McIlwraith,Jonathan Potts,Caley Wilson,Shuko Akune,Hans Schoeber,Nicholas Guilak,Christopher Davidson,Ian D. Clark,Jillian Hart,Janaya Stephens,Roger Kumble",ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The History of Tom Jones,SHOW,1997.0,62.0,"['drama', 'comedy', 'romance']",7.7,"Brian Blessed,Max Beesley,Samantha Morton,John Sessions,Benjamin Whitrow,Ron Cook,Christopher Fulford,Richard Ridings,Frances de la Tour,James D'Arcy,Brian Pettifer,Kathy Burke,Sylvester McCoy,Michelle Fairley",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Big Eden,MOVIE,2000.0,117.0,"['drama', 'romance', 'comedy']",7.3,"Arye Gross,Eric Schweig,Tim DeKay,Louise Fletcher,George Coe,Nan Martin,O'Neal Compton,Corinne Bohrer,Veanne Cox,Douglas Sebern,Parker Livingston,Cody Wayne,Josie Adams,Mark Twogood,Christopher Kendra,Bekki Vallin,Thomas Bezucha",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Love Stinks,MOVIE,1999.0,94.0,"['comedy', 'romance', 'drama']",5.8,"Katie Lunman,Talia Neelis,Emil Glassbourg,Sam Campbell,Alicia K. Harris",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
The Extreme Adventures of Super Dave,MOVIE,2000.0,91.0,['action'],5.933656114214774,"Bob Einstein,Dan Hedaya,Gia Carides,Don Lake,Art Irizawa,Mike Walden,Steve Van Wormer,Michael Buffer,Billy Barty,Peter MacDonald",ACTOR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
When Night Is Falling,MOVIE,1995.0,96.0,"['drama', 'romance']",6.5,"Pascale Bussières,Rachael Crawford,Henry Czerny,Don McKellar,David Fox,Tracy Wright,Clare Coulter,Karyne Steben,Sarah Steben,Jonathan Potts,Tom Melissis,Stuart Clow,Richard W. Farrell,Fides Krucker,Thomas Sokolowski,Jennifer Roblin,Jacqueline Casey,Sigrid Johnson,Patricia Rozema",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
The Assignment,MOVIE,1997.0,119.0,"['thriller', 'drama', 'action', 'crime']",7.0,"Aidan Quinn,Donald Sutherland,Ben Kingsley,Claudia Ferri,Céline Bonnier,Vlasta Vrana,Liliana Komorowska,Von Flores,Gregory Hlady,Gabriel Marian Oseciuc,Mitchell David Rothpan,Frédéric Desager,Kliment Denchev,Yonathan Gordon,Al Waxman,Christian Duguay",ACTOR,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Big Bully,MOVIE,1996.0,90.0,"['comedy', 'thriller']",4.7,"Rick Moranis,Tom Arnold,Julianne Phillips,Carol Kane,Jeffrey Tambor,Curtis Armstrong,Don Knotts,Doug Abrahams,Faith Prince,Tony Pierce,Blake Bashoff,Cody McMains,Harry Waters, Jr.,Stuart Pankin,Justin Jon Ross,Michael Zwiener,Bill Dow,Steve Miner",ACTOR,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Two If by Sea,MOVIE,1996.0,96.0,"['romance', 'comedy', 'crime']",5.2,"Sandra Bullock,Denis Leary,Yaphet Kotto,Stephen Dillane,Tracey Cherelle Jones,Julia Montgomery Brown,Jane Moffat,Mike Starr,Jonathan Tucker,Wayne Robson,Michael Badalucco,Angela Moore,Lenny Clarke,Don Gavin,John Friesen,Markus Parilo,Sean Runnette,Richard Fitzpatrick,Claire Rankin,Michael Risley,Martha Irving,Sandi Ross,Gia Carides,Bill Bennett",ACTOR,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Magic Knight Rayearth,SHOW,1994.0,24.0,"['scifi', 'action', 'animation', 'comedy', 'fantasy', 'romance']",7.7,"Yukimasa Kishino,Yuka Imai,Chinami Nishimura,Jun'ichi Kanemaru,Yuri Shiratori,Atsuko Takahata,Aya Hisakawa,Jurota Kosugi,Kikuko Inoue,Kiyoyuki Yanada,Kōhei Miyauchi,Megumi Ogata,Miki Ito,Satomi Korogi,Takkô Ishimori",ACTOR,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Black Robe,MOVIE,1991.0,101.0,"['drama', 'history', 'war']",7.1,"Lothaire Bluteau,Sandrine Holt,August Schellenberg,Tantoo Cardinal,Lawrence Bayne,Aden Young,Billy Two Rivers,Harrison Liu,Wesley Côté,Frank Wilson,François Tassé,Jean Brousseau,Yvan Labelle,Raoul Max Trujillo,James Bobbish,Denis Lacroix,Gilles Plante,Gordon Tootoosis,Marthe Turgeon,Claude Préfontaine,Deano Clavet,Jean-Raymond Châles,Paul Stewart,Jean-Jacques Blanchet,Marco Baron,Patrick Tenassco,George Pachanos,Minor Mustain,Don Brisebois,Jean Raphael,Guy Provencher,Joe De Laronde,Linlyn Lue,Bonfield Marcoux,Wanda Obomsawin,Jean-Pierre Pérusse,Gérard Soler,Alison Reid,Brenda Adams,Denis Plante,Daniel Thonon,Cordelia Beresford,Annie Bearskin,Doreen Stevens,Joseph Campeau,Eric Johnston,Mirya Obomsawin,Zoe Leigh Hopkins,Rodrigue Boivin,Irvin Hill,Valerie Decontie,Waylon Hare,Robert Wylde,Walter Jacobs,Helen Bobish Atkinson,John Tenasco,Jonathan Blacksmith,Earl Danyluk,Arnold Eyah-Saulteux,Bruce Beresford",ACTOR,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Love Letter,MOVIE,1999.0,83.0,"['romance', 'comedy', 'drama', 'european']",5.5,"Kate Capshaw,Tom Everett Scott,Ellen DeGeneres,Julianne Nicholson,Tom Selleck,Geraldine McEwan,Blythe Danner,Gloria Stuart,Bill Buell,Alice Drummond,Erik Jensen,Jessica Capshaw,Jack Black,Peter Chan",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
Apollo 13: To the Edge and Back,MOVIE,1994.0,82.0,['documentation'],8.2,"Jim Lovell,Fred Haise,Gene Kranz",ACTOR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucy and Desi: A Home Movie,MOVIE,1993.0,108.0,"['documentation', 'comedy', 'music']",8.1,"Lucille Ball,Desi Arnaz,Lucie Arnaz,Desi Arnaz Jr.,Gale Gordon,Carole Cook,Ann Miller",ACTOR,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The New Adventures of Peter Rabbit,MOVIE,1995.0,48.0,['animation'],5.933656114214774,"Cam Clarke,Debi Derryberry,Candi Milo,Diane Eskenazi",ACTOR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mindwarp,MOVIE,1991.0,91.0,"['horror', 'thriller', 'scifi']",5.2,"Bruce Campbell,Angus Scrimm,Marta Martin,Elizabeth Kent,Mary Becker,Wendy Sandow,Brian Brill,Bekki Vallin,Keith Rodenberger,Gene McGarr,Roger Perkovich,John Thorpe,Gerald Shidell,Troy Siegmeier,Dave Conseur,Sean McKeever,Josh Lifschutz,Ralph Nocerini,Lee Musselman,Brett Janssen,Pete Dirkx,Guy Larson,Todd Parsons,Aaron Lifschutz,Sean Reimer,Dan Cole,Jeff Nelson,Chad Samuelson,Scott Edwards,Dave Weber,John Felter,Hank Carlson,Steve Barnett",ACTOR,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Silent Trigger,MOVIE,1996.0,90.0,"['drama', 'thriller', 'action']",5.4,"Dolph Lundgren,Gina Bellman,Conrad Dunn,Christopher Heyerdahl,Emma Stevens,Alexandria Haber,Erin Simms,Tim Post,Larry Day,Russell Mulcahy",ACTOR,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Molly,MOVIE,1999.0,102.0,"['romance', 'comedy', 'drama']",5.7,"Elisabeth Shue,Aaron Eckhart,Jill Hennessy,Thomas Jane,D.W. Moffett,Elizabeth Mitchell,Robert Harper,Elaine Hendrix,Michael Paul Chan,Lucy Liu,Jon Pennell,Sarah Wynter,Nicholas Pryor,Jay Acovone,Musetta Vander,Athena Massey,Ana Cristina Oliveira,Brian George,John Duigan",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Incognito,MOVIE,1997.0,1.0,"['crime', 'thriller', 'romance']",6.4,"Jason Patric,Irène Jacob,Ian Richardson,Rod Steiger,Thomas Lockyer,Simon Chandler,Pip Torrens,Michael Cochrane,Togo Igawa,Joseph Blatchley,Paul Brennen,Olivier Pierre,Peter Gale,Dudley Sutton,Adam Fogerty,Ricardo Montez,Jonathan Newth,Ian Holm,Antonio Elliott,Bryan Matheson,Lex van Delden,Hugo Bower,Walter van Dyk,Frank Nendels,John Tordoff,Jean-Luc Caron,Maja Ottesen,Danielle Allan,Anna Korwin,David Sibley,Michael Dimitri,Jon Paul Morgan,Stephen Webber,Keith Anderson,Heike Willman,Miriam Karlin,Jon Cartwright,Andrew Forbes,Nora Connolly,Harry Fielder,Yoann Sover,John Badham",ACTOR,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Bill Hicks: Revelations,MOVIE,1993.0,74.0,"['comedy', 'documentation']",8.5,"Bill Hicks,Chris Bould",ACTOR,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The King and I,MOVIE,1999.0,87.0,"['drama', 'animation', 'family', 'fantasy']",4.3,"Miranda Richardson,Martin Vidnovic,Ian Richardson,Darrell Hammond,Christiane Noll,Adam Wylie,Sean Smith,Kenny Baker,Ed Trotta,Richard Rich",ACTOR,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
People Like Us,SHOW,1999.0,30.0,['comedy'],8.4,Chris Langham,ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sioux City,MOVIE,1994.0,102.0,"['thriller', 'drama']",5.6,"Lou Diamond Phillips,Salli Richardson-Whitfield,Melinda Dillon,Lise Cutter,Bill Allen,Apesanahkwat,John Dye,Gary Farmer,Ralph Waite,Tantoo Cardinal,Michael Corbett,Ronny Quintanar Jr.,Jim Great Elk Waters,Adam Roarke,Joseph Marcell,Earl Boen,Van B. Poole,Erik Stabenau,Cody Eagleboy,Seth Dillon,Shanti Kahn,Lou Diamond Phillips",ACTOR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rupert,SHOW,1991.0,24.0,"['fantasy', 'animation', 'family']",7.0,"Julie Lemiux,Keith White,Colin Fox,Stephanie Morgenstern,Wayne Robson,Torquil Campbell,Guy Bannerman,Valerie Boyle,Hadley Kay,Oscar Hsu,Dale Schott,Gary Hurst",ACTOR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Legend of the Red Dragon,MOVIE,1994.0,95.0,"['comedy', 'romance', 'action', 'drama', 'history']",6.3,"Jet Li,Chingmy Yau,Tse Miu,Damian Lau,Chan Chung-Yung,Deanie Ip,Chunhua Ji,Wong Jing,Johnny Wang Lung-Wei,Wong Jing",ACTOR,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Bill Hicks: Relentless,MOVIE,1992.0,61.0,['comedy'],5.933656114214774,"Bill Hicks,Chris Bould",ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Breathing Fire,MOVIE,1991.0,84.0,"['action', 'drama']",5.1,"Ke Huy Quan,Eddie Saavedra,Ed Neil,Jerry Trimble,Bolo Yeung,Wendell C. Whitaker,Allen Tackett,Jacqueline Pulliam,Drake Diamond,T.J. Storm,Pamela Maxton,Jackie O'Brien,Brandon Pender,Lou Kennedy",ACTOR,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Where the Day Takes You,MOVIE,1992.0,105.0,"['thriller', 'drama', 'crime']",6.5,"Sean Astin,Lara Flynn Boyle,Peter Dobson,Balthazar Getty,Ricki Lake,James Le Gros,Dermot Mulroney,Laura San Giacomo,Will Smith,Kyle MacLachlan,Adam Baldwin,Rachel Ticotin,Stephen Tobolowsky,Alyssa Milano,David Arquette,Robert Knepper,Ken Kerman,Nancy McKeon,Debbie James,Leo Rossi,Joey Dedio,Christian Slater,Marc Rocco",ACTOR,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Bad Seed,MOVIE,2000.0,93.0,['thriller'],5.3,"Luke Wilson,Norman Reedus,Dennis Farina,Mili Avital,Vincent Kartheiser,T.J. Thyne,Jessica Sullivan,Jon Bokenkamp",ACTOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sólo con tu pareja,MOVIE,1991.0,94.0,"['romance', 'drama', 'comedy']",6.8,"Daniel Giménez Cacho,Claudia Ramírez,Luis de Icaza,Astrid Hadad,Dobrina Liubomirova,Isabel Benet,Luz María Jerez,Monserrat Ontiveros,Regina Orozco,Rodolfo Arias,Víctor Carpinteiro,Claudette Maillé,Ariel López Padilla,Mónica Dionne,Manuel Sevilla,Arturo Ríos,Alfonso Cuarón",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Grizzly Mountain,MOVIE,1997.0,96.0,"['action', 'scifi', 'western', 'family', 'fantasy']",5.1,"Dan Haggerty,Dylan Haggerty,Nicole Lund,Kim Morgan Greene,Robert Patteri,Perry Stephens,E.E. Bell,Jeremy Haft",ACTOR,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
Alice Through the Looking Glass,MOVIE,1998.0,83.0,"['fantasy', 'family']",5.3,"Kate Beckinsale,Geoffrey Palmer,Ian Holm,Steve Coogan,Penelope Wilton,Charlotte Curley,Louise J. Taylor,Rebecca Palmer,Paulette P. Williams,Tania Luternauer,Siân Phillips,John Tordoff,Jasper Holmes,Gary Olsen,Marc Warren,Michael Medwin,Brian Gilks,John Cashen,Desmond Barrit,Jonathan Bailey,Greg Wise,Ian Richardson,John Henderson",ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Wilder Napalm,MOVIE,1993.0,109.0,"['fantasy', 'comedy']",5.4,"Debra Winger,Dennis Quaid,Arliss Howard,Jim Varney,M. Emmet Walsh,Robert Peters,Glenn Gordon Caron",ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Dancer, Texas Pop. 81",MOVIE,1998.0,97.0,"['drama', 'comedy', 'family']",6.7,"Breckin Meyer,Peter Facinelli,Eddie Mills,Ethan Embry,Ashley Johnson,Patricia Wettig,Michael O'Neill,Eddie Jones,Alexandra Holden,Shawn Weatherly,Keith Szarabajka,Tim McCanlies",ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Kratts' Creatures,SHOW,1996.0,27.0,['family'],8.2,"Ron Rubin,Chris Kratt,Martin Kratt",ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Ambassador,SHOW,1998.0,50.0,['drama'],7.1,Pauline Collins,ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The In Crowd,MOVIE,2000.0,105.0,"['thriller', 'drama']",4.6,"Lori Heuring,Susan Ward,Matthew Settle,Nathan Bexton,Tess Harper,Laurie Fortier,Kim Murphy,Jay R. Ferguson,Katharine Towne,Ethan Erickson,Erinn Bartlett,Daniel Hugh Kelly,Taylor Negron,Mary Lambert",ACTOR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Germinal,MOVIE,1993.0,160.0,"['drama', 'romance', 'european']",7.1,"Miou-Miou,Renaud,Jean Carmet,Judith Henry,Jean-Roger Milo,Gérard Depardieu,Laurent Terzieff,Bernard Fresson,Jean-Pierre Bisson,Jacques Dacqmine,Anny Duperey,Gérard Croce,Frédéric van den Driessche,Annick Alane,Pierre Lafont,Thierry Levaret,Fred Personne,Cécile Bois,Yolande Moreau,Maximilien Regiani,Bruno Tuchszer,Anne-Marie Pisani,Fred Ulysse,André Julien,Albano Guaetta,Georges Staquet,Yvette Petit,Delphine Quentin,Alexandrine Loeb,Solenn Jarniou,Frédérique Ruchaud,Jenny Clève,Fernand Kindt,André Chaumeau,Philippe Desboeuf,Sabrina Deladerière,Corinne Masiero,Claude Berri,Claude Berri",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Motorama,MOVIE,1991.0,90.0,"['comedy', 'crime', 'drama', 'fantasy', 'scifi', 'thriller']",6.2,"Jordan Christopher Michael,Martha Quinn,Michael Naegel,Susan Tyrrell,Harper Flaherty,John Laughlin,Kurt Bryant,John Diehl,Robert Picardo,Jack Nance,Cynthia King,Garrett Morris,Michael J. Pollard,Flea,Sandy Baron,Mary Woronov,Paul Willson,Rick Taylor,Vince Edwards,Drew Barrymore,Meat Loaf,Irwin Keyes,Dick Miller,Daniel Quinn,Bryan Scott,Barry Shils",ACTOR,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
Twenty Bucks,MOVIE,1993.0,91.0,"['drama', 'family', 'comedy']",6.3,"Linda Hunt,David Rasche,George Morfogen,Sam Sorbo,Brendan Fraser,Bubba Baker,Rosemary Murphy,Concetta Tomei,Peggy Miley,Shohreh Aghdashloo,David Fresco,Noah Lee Margetts,Melora Walters,Gladys Knight,William H.D. Marlett,Elisabeth Shue,Steve Buscemi,Christopher Lloyd,Kamau Holloway,Valente Rodriguez,Larry Greenstein,Skooter Fein,Vanessa Marquez,Kevin Kilner,Jeremy Piven,William H. Macy,David Schwimmer,Diane Baker,Alan North,Ave Maria Green,Per Aabel,Dorie Finn,Edward Blatchford,Adam Ryen,Matt Frewer,Ned Bellamy,Spalding Gray,Nancy Gormley,Nina Siemaszko,Isaac Marshall,Joel Thingvall,Sebastian Twardosz,Chloe Webb,Mark Webb,Jim Westcott,Keva Rosenfeld",ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Toxic Crusaders,SHOW,1991.0,24.0,"['animation', 'action', 'comedy', 'family', 'scifi']",6.5,"Gregg Berger,Susan Silo,Rodger Bumpass,Ed Gilbert,Susan Blu,Hal Rayle,Patric Zimmerman,Kath Soucie,Chuck McCann,Michael J. Pollard,Paul Eiding,John Mariano",ACTOR,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Daydream Believers: The Monkees Story,MOVIE,2000.0,92.0,"['drama', 'music']",6.1,"George Stanchev,L.B. Fisher,Jeff Geddis,Aaron Lohr,Colin Ferguson,Wallace Langham,Stephen Bogaert,Polly Shannon,Jim Thorburn,Toby Proctor,Sarah Lafleur,Katie Griffin,Neill Fearnley",ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Future Shock,MOVIE,1994.0,98.0,"['horror', 'scifi']",4.2,"Vivian Schilling,Martin Kove,Bill Paxton,Brion James,Sydney Lassick,Scott Thompson,James Karen,Lance August,Sarah Kaite Coughlan,David Wells,Sam Clay,Amanda Foreman,Tim Doyle,Julie Strain,David ""Shark"" Fralick,Collin Bernsen,Pamela Pond,Greg Grunberg,Chris Ryan,Eric Parkinson,Oley Sassone,Matt Reeves",ACTOR,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rage and Honor,MOVIE,1992.0,89.0,"['thriller', 'crime', 'action', 'drama']",5.0,"Cynthia Rothrock,Richard Norton,Brian Thompson,Catherine Bach,Stephen Davies,Terri Treas,Toshishiro Obata,Patrick Malone,Jon Van Ness,Matt O'Toole,Peter Cunningham,Roger Yuan,Alex Datcher,Tim DeZarn,Faith Minton,Kathy Long,Paul D. Fow,Jeff Winkless,Shevonne Durkin,Ralph Seymour,Lilli Rouleau,Christopher Edmonds,Steven Reich,Sabryna Gamboni,Molly Johnson,Norman Orenstein,Ken Balina,Cheryl Wheeler Duncan,Jeff Jones,Terence H. Winkless",ACTOR,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
The Million Dollar Hotel,MOVIE,2000.0,122.0,"['thriller', 'drama', 'european']",5.7,"Mel Gibson,Milla Jovovich,Jeremy Davies,Amanda Plummer,Peter Stormare,Bud Cort,Jimmy Smits,Julian Sands,Harris Yulin,Conrad Roberts,Donal Logue,Tom Bower,Gloria Stuart,Charlayne Woodard,Ellen Cleghorne,Richard Edson,Ezra Buzzington,Tito Larriva,David Stifel,Frederique van der Wal,Roger Stoneburner,Erik Rondell,Bono,Monty Bane,Tim Roth,Jon Hassell,Wim Wenders",ACTOR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Jeffrey,MOVIE,1995.0,92.0,"['comedy', 'drama', 'romance', 'european']",6.7,"Steven Weber,Patrick Stewart,Michael T. Weiss,Sigourney Weaver,Robert Klein,Nathan Lane,Christine Baranski,Bryan Batt,Victor Garber,Peter Maloney,Debra Monk,Olympia Dukakis,J. Smith-Cameron,Ethan Phillips,Kathy Najimy,Camryn Manheim,Alice Drummond,Peter Jacobson,David Thornton,Irma St. Paule,Jeff Ross,Joe Dain,K. Todd Freeman,Patrick Kerr,Peter Bartlett,John Seidman,Barton Heyman,Darryl Theirse,Lou Sumrall,Robert Capelli Jr.,Vince Cupone,Nancy Ticotin,Gregory Jbara,Marylouise Burke,Sarah Peterson,Joe Ponazecki,Henry Stram,Kevin Nealon,Christopher Ashley",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
City of Joy,MOVIE,1992.0,132.0,"['drama', 'european']",6.5,"Patrick Swayze,Om Puri,Pauline Collins,Shabana Azmi,Ayesha Dharker,Art Malik,Nabil Shaban,Debatosh Ghosh,Suneeta Sengupta,Mansi Upadhyay,Shyamanand Jalan,Shyamal Sengupta,Rudraprasad Sengupta,Anjan Dutt,Masood Akhtar,Loveleen Mishra,Pavan Malhotra,Anashua Majumdar,Roland Joffé",ACTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Black and White,MOVIE,1999.0,98.0,"['drama', 'crime', 'music']",4.9,"Robert Downey Jr.,Scott Caan,Stacy Edwards,Allan Houston,Gaby Hoffmann,Jared Leto,Claudia Schiffer,Brooke Shields,Joe Pantoliano,Kidada Jones,Marla Maples,Bijou Phillips,Oliver 'Power' Grant,Raekwon,William Lee Scott,Michael B. Jordan,Eddie Kaye Thomas,James Toback,Mike Tyson,Elijah Wood,Kim Matulova,Brett Ratner,Method Man,Inspectah Deck,Ghostface Killah,Sticky Fingaz,George Wayne,Scottie Epstein,Thaddaeus Birkett,Chip Banks,Hassan Johnson,Larry Shaw,Superb,Tyrone S. Walker,Richard Akiva,Justin Ske,Richard Voll,Steven C. Beer,Sabine Lamy,Michelle Dent,Frank Pesce,Richard Rose,Chuck Zito,Sheila Ball,John Bolger,Joseph Bongiorno,Masta Killa,Frank Adonis,Jodi Cohen,John Buffalo Mailer,Tina Nguyen,Garry Pastore,Richard Elms,Keith Grayson,Janine Green,Cara Hamill,Katie Hamill,David Alastair King,Kristin Klosterman,Duane McLaughlin,Lauren Pratt,Shari Raghunati,Katie Sagona,Melvin James Shaad,Tyree Michael Simpson,Patrick Watt,Jade Yorker,Pell James,James M. Sandín,Davy Sardou,Fredro Starr,Sanny van Heteren,Bellamy Young,Shawn Regruto,Robert B. Alexander,Eric Keith McNeil,Ben Stiller,James Toback",ACTOR,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
