title,type,release_year,runtime,genres,imdb_score,name,role,thriller,scifi,animation,documentation,history,western,war,sport,action,romance,horror,crime,comedy,drama,music,reality,fantasy,family,european
Intolerance: Love's Struggle Throughout the Ages,MOVIE,1916.0,197.0,"['history', 'drama']",7.7,"Lillian Gish,Mae Marsh,Robert Harron,F.A. Turner,Sam De Grasse,Vera Lewis,Lillian Langdon,Olga Grey,Erich von Ritzau,Bessie Love,Margery Wilson,Eugene Pallette,Spottiswoode Aitken,Ruth Handforth,Elmer Clifton,Seena Owen,Carl Stockdale,Mary Alden,Pearl Elmore,Julia Mackley,Miriam Cooper,Walter Long,Tom Wilson,Ralph Lewis,Lloyd Ingraham,John P. McCarthy,Monte Blue,Marguerite Marsh,Edward Dillon,Billy Quirk,Howard Gaye,William H. Brown,George Walsh,W.S. Van Dyke,Allan Sears,Frank Bennett,Maxfield Stanley,Josephine Crowell,Constance  Talmadge,W.E. Lawrence,Joseph Henabery,Chandler House,Alfred Paget,Tully Marshall,Dore Davidson,Taylor N. Duncan,Owen Moore,Frank Borzage,Karl Brown,Frank Campeau,Constance Collier,Donald Crisp,Nigel De Brulier,Clarence Geldart,Dell Henderson,Russell Hicks,DeWolf Hopper Sr.,Wilfred Lucas,Francis McDonald,Vester Pegg,Herbert Sutch,Herbert Beerbohm Tree,King Vidor,Hal Wilson,Tammany Young,Sylvia Ashton,Jennie Lee,George Beranger,Kitty Bradbury,Tod Browning,Frank Brownlee,Kate Bruce,Edward Burns,Noble Johnson,George Fawcett,Jewel Carmen,Carol Dempster,Mildred Harris,Daisy Jefferson,Carmel Myers,Eve Southern,Pauline Starke,Natalie Talmadge,Ethel Grey Terry,Francis Carpenter,Virginia Lee Corbin,Peggy Cartwright,Gino Corrado,William Courtright,Erich von Stroheim,Max Davidson,Douglas Fairbanks,Julia Faye,Clyde E. Hopkins,Alberta Lee,Elmo Lincoln,Loyola O'Connor,Wallace Reid,Alma Rubens,Madame Sul-Te-Wan,George Siegmann,Raymond Wells,Winifred Westover,David Butler,D.W. Griffith",ACTOR,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Stranger,MOVIE,1946.0,95.0,"['thriller', 'crime', 'drama']",7.3,"Edward G. Robinson,Loretta Young,Orson Welles,Philip Merivale,Richard Long,Konstantin Shayne,Byron Keith,Billy House,Martha Wentworth,Erskine Sanford,Theodore Gottlieb,David Bond,Neal Dodd,Ethan Laidlaw,Isabel O'Madigan,Johnny Sands,Pietro Sosso,Orson Welles",ACTOR,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
The Phantom of the Opera,MOVIE,1925.0,101.0,['horror'],7.5,"Lon Chaney,Mary Philbin,Norman Kerry,Arthur Edmund Carewe,Gibson Gowland,John St. Polis,Snitz Edwards,Virginia Pearson,Olive Ann Alcorn,Betty Van Allen,Betty Arthur,Joseph Belmont,Alexander Bevani,Earl Gordon Bostwick,Ethel Broadhurst,Edward Cecil,Ruth Clifford,Chester Conklin,Roy Coulson,Bruce Covington,Ward Crane,George Davis,Madame Fiorenza,Alan George,Cesare Gravina,William Humphrey,Carla Laemmle,Grace Marvin,John Miljan,Edith Murgatroyd,Templar Saxe,Bernard Siegel,William Tyroler,Vola Vale,Ellinor Vanderveer,Anton Vaverka,Josephine Haynes Webster,George B. Williams,Ed Wolff,Rupert Julian",ACTOR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tell Your Children,MOVIE,1938.0,66.0,"['drama', 'crime']",3.7,"Dorothy Short,Kenneth Craig,Lillian Miles,Dave O'Brien,Thelma White,Carleton Young,Warren McCollum,Patricia Royale,Joseph Forte,Harry Harvey Jr.,Richard Alexander,Bob Burns,Lester Dorr,Phil Dunham,Edward Earle,Frank LaRue,Edward LeSaint,Mary MacLaren,Walter McGrail,Edmund Mortimer,Frank O'Connor,William Royle,Marin Sais,Forrest Taylor,Dan Wolheim,Louis J. Gasnier",ACTOR,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
The Most Dangerous Game,MOVIE,1932.0,63.0,"['thriller', 'horror', 'action']",7.1,"Joel McCrea,Fay Wray,Robert Armstrong,Leslie Banks,Noble Johnson,Steve Clemente,William B. Davidson,Oscar 'Dutch' Hendrian,James Flavin,Hale Hamilton,Landers Stevens,Irving Pichel,Ernest B. Schoedsack",ACTOR,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Wuthering Heights,MOVIE,1939.0,104.0,"['drama', 'romance']",7.5,"Merle Oberon,Laurence Olivier,David Niven,Flora Robson,Donald Crisp,Geraldine Fitzgerald,Hugh Williams,Leo G. Carroll,Miles Mander,Cecil Kellaway,Cecil Humphreys,Sarita Wooton,Rex Downing,Douglas Scott,Frank Benson,Romaine Callender,Richard Clucas,Vernon Downing,Alice Ehlers,Harold Entwistle,Peter Gowland,Helena Grant,Sam Harris,Susanne Leach,Tommy Martin,Edmund Mortimer,Schuyler Standish,William Stelling,Diane Williams,Eric Wilton,Philip Winter,William Wyler",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
The Woman in the Window,MOVIE,1944.0,99.0,"['drama', 'thriller', 'crime']",7.6,"Edward G. Robinson,Joan Bennett,Raymond Massey,Edmund Breon,Dan Duryea,Thomas E. Jackson,Dorothy Peterson,Arthur Loft,Frank Dawson,Robert Blake,Frances Morris,Iris Adrian,Brandon Beach,Paul Bradley,James Carlisle,Fred Hueston,Sheldon Jett,Jack W. Johnston,Charles Meakin,Harold Minjir,Wedgwood Nowell,Louis Payne,Scott Seaton,Wyndham Standing,Larry Steers,Don Brodie,Frank Melton,Claire Carleton,Eddy Chandler,Tom Dillon,Freddie Chapman,Alec Craig,Hal Craig,Joe Devlin,Ralph Dunn,Bess Flowers,Jack Gardner,Jack Gargan,James Harrison,Fred Graham,Tom Hanlon,Harry Hayden,Donald Kerr,Frank McLure,George McFarland,Frank Mills,Anne O'Neal,Dave Pepper,Fred Rapport,Alexander Pollard,Arthur Space,Anne Loos,Fritz Lang",ACTOR,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Steamboat Bill, Jr.",MOVIE,1928.0,70.0,"['drama', 'romance', 'family', 'action', 'comedy']",7.8,"Buster Keaton,Ernest Torrence,Tom McGuire,Marion Byron,Tom Lewis,James T. Mack,Charles Reisner,Buster Keaton",ACTOR,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
The Little Foxes,MOVIE,1941.0,115.0,"['romance', 'drama']",7.9,"Bette Davis,Herbert Marshall,Teresa Wright,Richard Carlson,Dan Duryea,Patricia Collinge,Charles Dingle,Carl Benton Reid,Jessica Grayson,John Marriott,Russell Hicks,Lucien Littlefield,Virginia Brissac,Terry Nibert,Henry 'Hot Shot' Thomas,Charles R. Moore,Hooper Atchley,Al Bridge,Tex Driscoll,Jesse Graves,Lew Kelly,Henry Roquemore,Kenny Washington,William Wyler",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Stella Dallas,MOVIE,1937.0,106.0,"['drama', 'romance']",7.4,"Barbara Stanwyck,John Boles,Anne Shirley,Barbara O'Neil,Alan Hale,Marjorie Main,George Walcott,Ann Shoemaker,Tim Holt,Nella Walker,Bruce Satterlee,Jimmy Butler,Jack Egger,Dickie Jones,Jessie Arnold,Harlan Briggs,Heinie Conklin,Laraine Day,Ann Doran,Lester Dorr,Etta McDaniel,Forbes Murray,Lynne Roberts,Paul Stanton,Bert Stevens,Lillian Yarbo,King Vidor",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
