imdb_score,thriller,scifi,animation,documentation,history,western,war,sport,action,romance,horror,crime,comedy,drama,music,reality,fantasy,family,european
0.8522727272727272,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
0.8068181818181817,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1
0.7954545454545454,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0.7613636363636364,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0.7727272727272727,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.7613636363636364,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.8522727272727272,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
0.7045454545454545,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7840909090909091,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0.32954545454545453,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.75,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7045454545454545,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7272727272727273,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.29545454545454547,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.6818181818181818,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0.7272727272727273,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.7386363636363635,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7613636363636364,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
0.7727272727272727,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.7159090909090909,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.7613636363636364,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.6704545454545454,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
0.7386363636363635,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0.6249999999999999,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.7159090909090909,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.7613636363636364,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5909090909090908,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0.6931818181818181,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
0.6363636363636364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0.7045454545454545,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0.7386363636363635,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
0.6704545454545454,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.6136363636363636,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0.6818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
0.5909090909090908,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
